date,count
10 Sep 1914,6
13 Sep 1914,35
15 Sep 1914,1
24 Sep 1914,1
27 Sep 1914,1
01 Oct 1914,1
02 Oct 1914,1
04 Oct 1914,1
11 Oct 1914,1
13 Oct 1914,1
17 Oct 1914,1
20 Oct 1914,1
22 Oct 1914,1
23 Oct 1914,1
24 Oct 1914,1
25 Oct 1914,1
26 Oct 1914,1
29 Oct 1914,1
01 Nov 1914,2
04 Nov 1914,2
07 Nov 1914,1
08 Nov 1914,4
09 Nov 1914,3
10 Nov 1914,1
11 Nov 1914,1
15 Nov 1914,1
16 Nov 1914,1
19 Nov 1914,1
23 Nov 1914,2
24 Nov 1914,1
26 Nov 1914,2
29 Nov 1914,1
05 Dec 1914,1
12 Dec 1914,1
13 Dec 1914,1
15 Dec 1914,2
17 Dec 1914,1
19 Dec 1914,2
21 Dec 1914,4
23 Dec 1914,1
27 Dec 1914,1
28 Dec 1914,1
29 Dec 1914,3
30 Dec 1914,2
31 Dec 1914,4
01 Jan 1915,1
02 Jan 1915,1
03 Jan 1915,1
11 Jan 1915,2
12 Jan 1915,1
13 Jan 1915,2
14 Jan 1915,1
15 Jan 1915,1
16 Jan 1915,1
17 Jan 1915,1
18 Jan 1915,1
19 Jan 1915,3
20 Jan 1915,1
21 Jan 1915,1
23 Jan 1915,3
24 Jan 1915,1
25 Jan 1915,1
26 Jan 1915,3
28 Jan 1915,1
29 Jan 1915,1
30 Jan 1915,1
31 Jan 1915,2
02 Feb 1915,2
03 Feb 1915,1
04 Feb 1915,1
05 Feb 1915,3
07 Feb 1915,1
08 Feb 1915,1
10 Feb 1915,4
11 Feb 1915,1
12 Feb 1915,3
16 Feb 1915,1
17 Feb 1915,2
20 Feb 1915,2
23 Feb 1915,2
25 Feb 1915,1
26 Feb 1915,1
28 Feb 1915,3
03 Mar 1915,2
04 Mar 1915,2
05 Mar 1915,2
06 Mar 1915,3
08 Mar 1915,2
09 Mar 1915,2
10 Mar 1915,1
11 Mar 1915,2
12 Mar 1915,1
13 Mar 1915,1
14 Mar 1915,1
15 Mar 1915,2
16 Mar 1915,1
17 Mar 1915,4
18 Mar 1915,1
20 Mar 1915,1
21 Mar 1915,2
22 Mar 1915,2
23 Mar 1915,2
24 Mar 1915,2
25 Mar 1915,2
26 Mar 1915,2
27 Mar 1915,1
28 Mar 1915,3
29 Mar 1915,4
30 Mar 1915,2
31 Mar 1915,3
01 Apr 1915,3
02 Apr 1915,3
03 Apr 1915,2
04 Apr 1915,2
05 Apr 1915,6
06 Apr 1915,3
07 Apr 1915,1
08 Apr 1915,1
09 Apr 1915,1
12 Apr 1915,1
13 Apr 1915,1
14 Apr 1915,2
16 Apr 1915,1
17 Apr 1915,1
19 Apr 1915,3
20 Apr 1915,1
22 Apr 1915,1
24 Apr 1915,753
25 Apr 1915,97
26 Apr 1915,138
27 Apr 1915,69
28 Apr 1915,76
29 Apr 1915,75
30 Apr 1915,102
01 May 1915,491
02 May 1915,132
03 May 1915,80
04 May 1915,33
05 May 1915,36
06 May 1915,39
07 May 1915,271
08 May 1915,119
09 May 1915,70
10 May 1915,36
11 May 1915,33
12 May 1915,26
13 May 1915,45
14 May 1915,26
15 May 1915,30
16 May 1915,22
17 May 1915,45
18 May 1915,132
19 May 1915,95
20 May 1915,26
21 May 1915,24
22 May 1915,18
23 May 1915,29
24 May 1915,23
25 May 1915,23
26 May 1915,15
27 May 1915,27
28 May 1915,79
29 May 1915,32
30 May 1915,18
31 May 1915,19
01 Jun 1915,16
02 Jun 1915,15
03 Jun 1915,10
04 Jun 1915,20
05 Jun 1915,19
06 Jun 1915,14
07 Jun 1915,6
08 Jun 1915,8
09 Jun 1915,14
10 Jun 1915,9
11 Jun 1915,12
12 Jun 1915,7
13 Jun 1915,8
14 Jun 1915,13
15 Jun 1915,18
16 Jun 1915,11
17 Jun 1915,9
18 Jun 1915,13
19 Jun 1915,12
20 Jun 1915,8
21 Jun 1915,8
22 Jun 1915,8
23 Jun 1915,9
24 Jun 1915,14
25 Jun 1915,10
26 Jun 1915,13
27 Jun 1915,101
28 Jun 1915,20
29 Jun 1915,24
30 Jun 1915,8
01 Jul 1915,9
02 Jul 1915,5
03 Jul 1915,12
04 Jul 1915,17
05 Jul 1915,10
06 Jul 1915,13
07 Jul 1915,9
08 Jul 1915,8
09 Jul 1915,12
10 Jul 1915,10
11 Jul 1915,29
12 Jul 1915,18
13 Jul 1915,23
14 Jul 1915,8
15 Jul 1915,9
16 Jul 1915,12
17 Jul 1915,19
18 Jul 1915,9
19 Jul 1915,12
20 Jul 1915,10
21 Jul 1915,11
22 Jul 1915,19
23 Jul 1915,17
24 Jul 1915,11
25 Jul 1915,10
26 Jul 1915,12
27 Jul 1915,12
28 Jul 1915,13
29 Jul 1915,17
30 Jul 1915,15
31 Jul 1915,62
01 Aug 1915,14
02 Aug 1915,16
03 Aug 1915,17
04 Aug 1915,11
05 Aug 1915,531
06 Aug 1915,755
07 Aug 1915,468
08 Aug 1915,107
09 Aug 1915,83
10 Aug 1915,53
11 Aug 1915,30
12 Aug 1915,36
13 Aug 1915,42
14 Aug 1915,38
15 Aug 1915,22
16 Aug 1915,20
17 Aug 1915,28
18 Aug 1915,20
19 Aug 1915,39
20 Aug 1915,60
21 Aug 1915,200
22 Aug 1915,40
23 Aug 1915,24
24 Aug 1915,28
25 Aug 1915,24
26 Aug 1915,169
27 Aug 1915,50
28 Aug 1915,85
29 Aug 1915,38
30 Aug 1915,22
31 Aug 1915,16
01 Sep 1915,48
02 Sep 1915,24
03 Sep 1915,28
04 Sep 1915,16
05 Sep 1915,20
06 Sep 1915,12
07 Sep 1915,11
08 Sep 1915,16
09 Sep 1915,14
10 Sep 1915,10
11 Sep 1915,5
12 Sep 1915,18
13 Sep 1915,15
14 Sep 1915,14
15 Sep 1915,18
16 Sep 1915,21
17 Sep 1915,18
18 Sep 1915,17
19 Sep 1915,16
20 Sep 1915,15
21 Sep 1915,17
22 Sep 1915,13
23 Sep 1915,14
24 Sep 1915,11
25 Sep 1915,9
26 Sep 1915,8
27 Sep 1915,14
28 Sep 1915,12
29 Sep 1915,13
30 Sep 1915,15
01 Oct 1915,4
02 Oct 1915,13
03 Oct 1915,17
04 Oct 1915,4
05 Oct 1915,11
06 Oct 1915,16
07 Oct 1915,7
08 Oct 1915,6
09 Oct 1915,11
10 Oct 1915,7
11 Oct 1915,11
12 Oct 1915,19
13 Oct 1915,7
14 Oct 1915,10
15 Oct 1915,14
16 Oct 1915,13
17 Oct 1915,10
18 Oct 1915,11
19 Oct 1915,12
20 Oct 1915,10
21 Oct 1915,9
22 Oct 1915,10
23 Oct 1915,13
24 Oct 1915,5
25 Oct 1915,8
26 Oct 1915,12
27 Oct 1915,6
28 Oct 1915,13
29 Oct 1915,8
30 Oct 1915,10
31 Oct 1915,15
01 Nov 1915,12
02 Nov 1915,7
03 Nov 1915,2
04 Nov 1915,21
05 Nov 1915,8
06 Nov 1915,10
07 Nov 1915,9
08 Nov 1915,22
09 Nov 1915,15
10 Nov 1915,15
11 Nov 1915,10
12 Nov 1915,9
13 Nov 1915,15
14 Nov 1915,8
15 Nov 1915,21
16 Nov 1915,12
17 Nov 1915,10
18 Nov 1915,11
19 Nov 1915,13
20 Nov 1915,22
21 Nov 1915,13
22 Nov 1915,5
23 Nov 1915,13
24 Nov 1915,9
25 Nov 1915,12
26 Nov 1915,17
27 Nov 1915,17
28 Nov 1915,75
29 Nov 1915,12
30 Nov 1915,14
01 Dec 1915,11
02 Dec 1915,8
03 Dec 1915,13
04 Dec 1915,8
05 Dec 1915,4
06 Dec 1915,9
07 Dec 1915,8
08 Dec 1915,11
09 Dec 1915,3
10 Dec 1915,9
11 Dec 1915,14
12 Dec 1915,13
13 Dec 1915,3
14 Dec 1915,11
15 Dec 1915,10
16 Dec 1915,14
17 Dec 1915,3
18 Dec 1915,5
19 Dec 1915,4
20 Dec 1915,4
21 Dec 1915,2
22 Dec 1915,3
23 Dec 1915,5
24 Dec 1915,7
25 Dec 1915,7
26 Dec 1915,5
27 Dec 1915,4
28 Dec 1915,4
29 Dec 1915,4
30 Dec 1915,7
31 Dec 1915,5
01 Jan 1916,4
02 Jan 1916,2
03 Jan 1916,5
04 Jan 1916,1
05 Jan 1916,3
06 Jan 1916,2
07 Jan 1916,3
08 Jan 1916,3
09 Jan 1916,3
10 Jan 1916,4
11 Jan 1916,1
12 Jan 1916,2
13 Jan 1916,2
14 Jan 1916,5
15 Jan 1916,4
16 Jan 1916,2
17 Jan 1916,4
18 Jan 1916,2
19 Jan 1916,6
20 Jan 1916,2
21 Jan 1916,4
22 Jan 1916,2
23 Jan 1916,6
24 Jan 1916,7
25 Jan 1916,2
