Cemetery Proper Name,Cemetery Short Name,Lat,Lng,Country
"Rookwood Necropolis, Sydney",Rookwood,-33.87516,151.06494,Australia
"Cite Bonjean Military Cemetery, Armentieres",Cite Bonjean Military,50.68574,2.863,France
Lille Southern Cemetery,Lille Southern,50.61255,3.04718,France
"Trois Arbres Cemetery, Steenwerck",Trois Arbres,50.70415,2.80305,France
Ladywell Cemetery,Ladywell,51.45664,-0.02694,United Kingdom
"Gommecourt Wood New Cemetery, Foncquevillers",Gommecourt Wood,50.14337,2.63943,France
Halluin Communal Cemetery,Halluin,50.77958,3.12951,France
Mouvaux New Communal Cemetery,Mouvaux,50.70923,3.12682,France
"Shrine Cemetery, Bucquoy",Shrine,50.14258,2.69613,France
Hartwell (St. Mary) Churchyard,Hartwell,51.80496,-0.84842,United Kingdom
"Croix-Du-Bac British Cemetery, Steenwerck",Croix-Du-Bac,50.66712,2.79786,France
Greenwich Cemetery,Greenwich,51.46799,0.05247,United Kingdom
Houplines Communal Cemetery Extension,Houplines,50.68889,2.91732,France
Exeter Higher Cemetery,Exeter,50.72762,-3.50194,United Kingdom
Naves Communal Cemetery Extension,Naves,50.19802,3.30873,France
Batley Cemetery,Batley,53.71539,-1.64174,United Kingdom
Sailly-Au-Bois Military Cemetery,Sailly-Au-Bois,50.12265,2.58848,France
Hedauville Communal Cemetery Extension,Hedauville,50.04755,2.56542,France
Gwalia Cemetery,Gwalia,50.8764,2.76469,Belgium
Maubeuge-Centre Cemetery,Maubeuge-Centre,50.28413,3.97349,France
Varennes Military Cemetery,Varennes,50.0545,2.52615,France
Oxford (Botley) Cemetery,Oxford Botley,51.7519,-1.29295,United Kingdom
Brandhoek New Military Cemetery No.3,Brandhoek,50.85218,2.78782,Belgium
"Woodgrange Park Cemetery, East Ham",Woodgrange Park,51.54834,0.04156,United Kingdom
Kandahar Farm Cemetery,Kandahar Farm,50.75523,2.84748,Belgium
La Plus Douve Farm Cemetery,La Plus Douve,50.75293,2.86468,Belgium
"Faubourg D'Amiens Cemetery, Arras",Faubourg,50.28697,2.76065,France
Strand Military Cemetery,Strand,50.73277,2.88025,Belgium
Vlamertinghe New Military Cemetery,Vlamertinghe,50.84772,2.81849,Belgium
Hillingdon And Uxbridge Cemetery,Hillingdon,51.53513,-0.46575,United Kingdom
Ridge Wood Military Cemetery,Ridge Wood,50.81138,2.85046,Belgium
Wolvercote Cemetery,Wolvercote,52.06847,-0.77435,United Kingdom
Leytonstone (St. Patrick's) Roman Catholic Cemetery,Leytonstone,51.55678,-0.00124,United Kingdom
"City Of London Cemetery And Crematorium, Manor Park",City Of London,51.55792,0.04449,United Kingdom
Gezaincourt Communal Cemetery Extension,Gezaincourt,50.14583,2.32308,France
Coxyde Military Cemetery,Coxyde,51.10371,2.64303,Belgium
Achiet-Le-Grand Communal Cemetery Extension,Achiet-Le-Grand,50.13597,2.77508,France
Englebelmer Communal Cemetery Extension,Englebelmer Extension,50.05712,2.60329,France
"Heilly Station Cemetery, Mericourt-L'Abbe",Heilly Station,49.94081,2.54186,France
"Bagneux British Cemetery, Gezaincourt",Bagneux,50.1343,2.31407,France
"Anzac Cemetery, Sailly-Sur-La-Lys",Anzac,50.65271,2.76311,France
Cite Bonjean (New Zealand) Memorial,Cite Bonjean NZ Memorial,50.68651,2.86311,France
"Bulls Road Cemetery, Flers",Bulls,50.04935,2.82842,France
"Cross Roads Cemetery, Fontaine-Au-Bois",Cross Roads,50.13614,3.62673,France
Anneux British Cemetery,Anneux,50.15975,3.12668,France
Wimereux Communal Cemetery,Wimereux,50.77389,1.61333,France
Doullens Communal Cemetery Extension No.2,Doullens Ext 2,50.15628,2.35041,France
Flesquieres Hill British Cemetery,Flesquieres Hill,50.12513,3.12463,France
Hermies Hill British Cemetery,Hermies,50.11112,3.03185,France
Neuville-Bourjonval British Cemetery,Neuville-Bourjo,50.06906,3.03022,France
"Ration Farm Military Cemetery, La Chapelle-D'Armentieres",Ration Farm Military,50.65737,2.88829,France
Brookwood Military Cemetery,Brookwood,51.30022,-0.64212,United Kingdom
"Mazargues War Cemetery, Marseilles",Mazargues,43.2491,5.40531,France
Wandsworth (Earlsfield) Cemetery,Wandsworth,51.4461,-0.17938,United Kingdom
Colincamps Communal Cemetery,Colincamps,50.096,2.60056,France
Hither Green Cemetery,Hither,51.43472,0.00921,United Kingdom
Hampstead Cemetery,Hampstead,51.55641,-0.19653,United Kingdom
Meteren Military Cemetery,Meteren,50.74349,2.68886,France
Mailly-Maillet Communal Cemetery Extension,Mailly-Maillet,50.08584,2.59637,France
Marfaux British Cemetery,Marfaux,49.16402,3.90401,France
Torquay Cemetery And Extension,Torquay,50.48311,-3.54317,United Kingdom
Marfaux (New Zealand) Memorial,Marfaux NZ Memorial,49.16437,3.90413,France
St. Amand British Cemetery,St. Amand,50.16774,2.56204,France
"H.A.C. Cemetery, Ecoust-St. Mein",H.A.C.,50.17211,2.90492,France
West Norwood Cemetery And Crematorium,West Norwood,51.43349,-0.10349,United Kingdom
Caterpillar Valley (New Zealand) Memorial,Caterpillar NZ Memorial,50.02563,2.79247,France
Tourcoing (Pont-Neuville) Communal Cemetery,Tourcoing,50.7399,3.17585,France
Easton Cemetery,Easton,52.17849,1.33968,United Kingdom
Ilmington Church Cemetery,Ilmington,52.08911,-1.69625,United Kingdom
"Mikra British Cemetery, Kalamaria",Mikra,40.57828,22.96488,Greece
"Point-Du-Jour Military Cemetery, Athies",Point-Du-Jour,50.31377,2.83578,France
St. Cloud Communal Cemetery,St. Cloud,48.84806,2.20484,France
"Levallois-Perret Communal Cemetery, Paris",Levallois-Perre,48.89983,2.2904,France
Paignton Cemetery,Paignton,50.43785,-3.58124,United Kingdom
"Brewery Orchard Cemetery, Bois-Grenier",Brewery Orchard,50.65058,2.87551,France
Nunhead (All Saints) Cemetery,Nunhead,51.46431,-0.05316,United Kingdom
"Rue-Petillon Military Cemetery, Fleurbaix",Rue-Petillon,50.63134,2.83567,France
"Fifteen Ravine British Cemetery, Villers-Plouich",Fifteen Ravine,50.07275,3.13904,France
Londonthorpe (St. John The Baptist) Churchyard,Londonthorpe,52.93104,-0.58302,United Kingdom
Grantham Cemetery,Grantham,52.90953,-0.63263,United Kingdom
Carnoy Military Cemetery,Carnoy,49.98221,2.75494,France
Longuenesse (St. Omer) Souvenir Cemetery,Longuenesse,50.73088,2.25126,France
Belgian Battery Corner Cemetery,Belgian Battery,50.83933,2.86138,Belgium
Mendinghem Military Cemetery,Mendinghem,50.89751,2.64207,Belgium
"Bailleul Communal Cemetery Extension, Nord",Bailleul,50.7385,2.74343,France
Doullens Communal Cemetery Extension No.1,Doullens Ext 1,50.15521,2.35102,France
Hondeghem Churchyard,Hondeghem,50.75673,2.52123,France
"Rue-Du-Bois Military Cemetery, Fleurbaix",Rue-Du-Bois,50.62921,2.82277,France
"Adanac Military Cemetery, Miraumont",Adanac Military,50.07415,2.74349,France
Lebucquiere Communal Cemetery Extension,Lebucquiere,50.11181,2.96925,France
Gunners Farm Military Cemetery,Gunners Farm,50.71816,2.89646,Belgium
Motor Car Corner Cemetery,Motor Car Corner,50.70948,2.8931,Belgium
Divisional Cemetery,Divisional,50.8482,2.85833,Belgium
"Pont-D'Achelles Military Cemetery, Nieppe",Pont-D'Achelles,50.71538,2.81907,France
Ribecourt Railway Cemetery,Ribecourt Railway,50.1123,3.13456,France
"Somme American Cemetery, Bony",Somme American,49.98437,3.21422,France
Westouter Churchyard And Extension,Westouter,50.79773,2.74598,Belgium
St. Teath Church Cemetery,St. Teath,50.59328,-4.73692,United Kingdom
Breinton (St. Michael) Churchyard,Breinton,52.05173,-2.76964,United Kingdom
Advent (St. Adwena) Churchyard,Advent,50.6024,-4.68037,United Kingdom
St. Mabyn Church Cemetery,St. Mabyn,50.52632,-4.76416,United Kingdom
Kensal Green (All Souls') Cemetery,Kensal Green,51.52812,-0.21732,United Kingdom
St. Columb Major Cemetery,St. Columb,50.42725,-4.94578,United Kingdom
"Edmonton Cemetery, Middlesex",Edmonton,51.6296,-0.07988,United Kingdom
Cliveden War Cemetery,Cliveden,51.55801,-0.69,United Kingdom
Englebelmer Communal Cemetery,Englebelmer,50.05693,2.60425,France
Lincoln (St. Swithin's) Cemetery,Lincoln St. Swithins,53.21965,-0.52227,United Kingdom
"St. Pierre Cemetery, Amiens",St. Pierre,49.90977,2.32848,France
Shackerstone (St. Peter) Churchyard,Shackerstone,52.65691,-1.44849,United Kingdom
"Sunken Road Cemetery, Boisleux-St. Marc",Sunken Road,50.21735,2.78969,France
"Rue-David Military Cemetery, Fleurbaix",Rue-David,50.63674,2.85185,France
Bancourt British Cemetery,Bancourt British,50.10237,2.89748,France
Berks Cemetery Extension,Berks,50.7378,2.88228,Belgium
Haringhe (Bandaghem) Military Cemetery,Haringhe,50.90163,2.61485,Belgium
Grevillers British Cemetery,Grevillers,50.10778,2.82004,France
Dochy Farm New British Cemetery,Dochy Farm,50.8817,2.97199,Belgium
"Thilloy Road Cemetery, Beaulencourt",Thilloy Road,50.07948,2.85311,France
Tyne Cot Cemetery,Tyne Cot,50.88699,2.99771,Belgium
Fort Pitt Military Cemetery,Fort Pitt,51.37664,0.51094,United Kingdom
Kilbrandon Old Churchyard,Kilbrandon,56.28994,-5.61474,United Kingdom
Carnock New Cemetery,Carnock,56.08565,-3.54224,United Kingdom
"Sucrerie Military Cemetery, Colincamps",Sucrerie,50.09581,2.6232,France
Kirkcaldy (Bennochy) Cemetery,Kirkcaldy,56.11534,-3.16504,United Kingdom
Tidworth Military Cemetery,Tidworth,51.25563,-1.66749,United Kingdom
Romeries Communal Cemetery Extension,Romeries,50.20073,3.52343,France
Caudry British Cemetery,Caudry,50.12036,3.4229,France
Honnechy British Cemetery,Honnechy,50.07073,3.47545,France
"Mont Huon Military Cemetery, Le Treport",Mont Huon,50.046,1.36489,France
Basra War Cemetery,Basra War,30.53022,47.82031,Iraq
Preesall Cemetery,Preesall,53.90757,-2.96351,United Kingdom
Netheravon (All Saints) Churchyard,Netheravon,51.23479,-1.79019,United Kingdom
Wellington (Karori) Cemetery,Wellington Karori,-41.27949,174.75132,New Zealand
Te Aroha Public Cemetery,Te Aroha,-37.55644,175.71052,New Zealand
Dozinghem Military Cemetery,Dozinghem,50.89244,2.70158,Belgium
Fienvillers British Cemetery,Fienvillers,50.11584,2.21988,France
Codford St. Mary (St. Mary) New Churchyard,Codford St,51.15709,-2.03829,United Kingdom
Waimate Cemetery,Waimate,-44.74048,171.06062,New Zealand
Appleby (Ss. Peter And Paul) Catholic Cemetery,Appleby Catholic,-41.31706,173.11199,New Zealand
Suez War Memorial Cemetery,Suez,29.97246,32.53634,Egypt
Appleby (St. Albans) Anglican Churchyard,Appleby Anglican,-41.31738,173.13699,New Zealand
Kantara War Memorial Cemetery,Kantara War Memorial,30.87194,32.33173,Egypt
"Ashford Cemetery, Kent",Ashford,51.15326,0.87386,United Kingdom
"Rocquigny-Equancourt Road British Cemetery, Manancourt",Rocquigny-Equancourt,50.04412,2.99006,France
Oxford Road Cemetery,Oxford Road,50.86928,2.91606,Belgium
Passchendaele New British Cemetery,Passchendaele,50.9044,3.01105,Belgium
Netley Military Cemetery,Netley,50.86609,-1.33232,United Kingdom
Hooge Crater Cemetery,Hooge Crater,50.84623,2.9434,Belgium
Gouzeaucourt New British Cemetery,Gouzeaucourt,50.04865,3.11593,France
"Quarry Cemetery, Montauban",Quarry,50.01419,2.78133,France
Walton-On-Thames Cemetery,Walton-On-Thames,51.38795,-0.41746,United Kingdom
Polygon Wood Cemetery,Polygon Wood,50.85706,2.99043,Belgium
Kemmel Chateau Military Cemetery,Kemmel Chateau,50.78667,2.82892,Belgium
Brockenhurst (St. Nicholas) Churchyard,Brockenhurst,50.8144,-1.56791,United Kingdom
Manchester Southern Cemetery,Manchester Soutern,53.42769,-2.26122,United Kingdom
Plymouth (Weston Mill) Cemetery,Plymouth Weston Mill,50.39532,-4.17198,United Kingdom
"White House Cemetery, St. Jean-Les-Ypres",White House,50.86172,2.89923,Belgium
Lijssenthoek Military Cemetery,Lijssenthoek,50.82839,2.7016,Belgium
Warlencourt British Cemetery,Warlencourt,50.08079,2.79911,France
Bournemouth East Cemetery,Bournemouth,50.7339,-1.82826,United Kingdom
Klein-Vierstraat British Cemetery,Klein-Vierstraa,50.80485,2.83924,Belgium
Sutton Cemetery,Sutton,51.38061,-0.20772,United Kingdom
Birr Cross Roads Cemetery,Birr Cross,50.84757,2.92856,Belgium
Portsdown (Christ Church) Military Cemetery,Portsdown,50.85457,-1.05235,United Kingdom
Bienvillers Military Cemetery,Bienvillers,50.16936,2.60749,France
"Mory Abbey Military Cemetery, Mory",Mory Abbey,50.15918,2.85962,France
Kingsdown (St. John The Evangelist) Churchyard,Kingsdown,51.1862,1.40217,United Kingdom
"Caterpillar Valley Cemetery, Longueval",Caterpillar Valley,50.02619,2.792,France
La Brique Military Cemetery No.2,La Brique,50.86469,2.89442,Belgium
Aeroplane Cemetery,Aeroplane,50.86419,2.93088,Belgium
Estaires Communal Cemetery And Extension,Estaires,50.64487,2.72887,France
Wulverghem-Lindenhoek Road Military Cemetery,Wulverghem-Lindenhoek,50.76402,2.84386,Belgium
"Louverval Military Cemetery, Doignies",Louverval,50.1367,3.01534,France
Nine Elms British Cemetery,Nine Elms,50.85095,2.69701,Belgium
Westhof Farm Cemetery,Westhof Farm,50.7373,2.80557,Belgium
Underhill Farm Cemetery,Underhill Farm,50.74099,2.86995,Belgium
Prowse Point Military Cemetery,Prowse Point,50.74426,2.899,Belgium
Mud Corner Cemetery,Mud Corner,50.74213,2.89856,Belgium
"Vertigneul Churchyard, Romeries",Vertigneul,50.19633,3.54751,France
Beaudignies Communal Cemetery,Beaudignies,50.23622,3.58557,France
"A.I.F. Burial Ground, Flers",A.I.F. Burial,50.05985,2.83119,France
"Delsaux Farm Cemetery, Beugny",Delsaux Farm,50.10879,2.93383,France
Croydon (Mitcham Road) Cemetery,Croydon,51.38873,-0.12874,United Kingdom
Abbeville Communal Cemetery Extension,Abbeville Ext,50.12141,1.83222,France
Longueval Road Cemetery,Longueval,50.01916,2.79877,France
"Villers Hill British Cemetery, Villers-Guislain",Villers Hill,50.03292,3.1619,France
Birmingham (Lodge Hill) Cemetery,Birmingham,52.43887,-1.95495,United Kingdom
"Canterbury Cemetery, Kent","Canterbury, Kent",51.28435,1.06376,United Kingdom
Voormezeele Enclosure No.3,Voormezeele 3,50.8184,2.8732,Belgium
Bois-Guillaume Communal Cemetery Extension,Bois-Guillaume,49.4691,1.11191,France
Busigny Communal Cemetery Extension,Busigny,50.04088,3.46053,France
Maple Leaf Cemetery,Maple Leaf,50.72056,2.83899,Belgium
Liverpool (Kirkdale) Cemetery,Liverpool,53.4673,-2.94801,United Kingdom
Neath (Llantwit) Cemetery,Neath,51.66723,-3.78865,United Kingdom
Couin New British Cemetery,Couin,50.13957,2.53301,France
Plymouth (Efford) Cemetery,Plymouth Efford,50.39092,-4.10999,United Kingdom
Boulogne Eastern Cemetery,Boulogne,50.72483,1.62272,France
The Huts Cemetery,The Huts,50.82333,2.81984,Belgium
"Bernafay Wood British Cemetery, Montauban",Bernafay Wood,50.01164,2.7933,France
Aire Communal Cemetery,Aire Communal,50.64883,2.39416,France
St. Julien Dressing Station Cemetery,St. Julien,50.88776,2.93536,Belgium
Cannock Chase War Cemetery,Cannock Chase,52.73691,-2.02703,United Kingdom
Chanak Consular Cemetery,Chanak,40.14592,26.41523,Turkey (including Gallipoli)
Dernancourt Communal Cemetery Extension,Dernancourt,49.97684,2.62496,France
Ploegsteert Wood Military Cemetery,Ploegsteert Wood,50.73711,2.90041,Belgium
Ipswich Old Cemetery,Ipswich,52.06351,1.16761,United Kingdom
St. Quentin Cabaret Military Cemetery,St. Quentin Cabaret,50.75712,2.85607,Belgium
Whitchurch Cemetery,Whitchurch,52.98022,-2.67324,United Kingdom
"Beaumetz Cross Roads Cemetery, Beaumetz-Les-Cambrai",Beaumetz,50.11516,2.98876,France
"Ramparts Cemetery, Lille Gate",Ramparts,50.84478,2.88932,Belgium
New Irish Farm Cemetery,New Irish Farm,50.87291,2.89828,Belgium
Lindenhoek Chalet Military Cemetery,Lindenhoek,50.77637,2.8239,Belgium
Ruyaulcourt Military Cemetery,Ruyaulcourt,50.08932,3.01901,France
Compton Dundon (St. Andrew) Churchyard Extension,Compton Dundon,51.08966,-2.7439,United Kingdom
Maala Cemetery,Maala,12.79059,44.99963,Yemen
"Ontario Cemetery, Sains-Les-Marquion",Ontario,50.18264,3.07224,France
"Knightsbridge Cemetery, Mesnil-Martinsart",Knightsbridge,50.06756,2.64373,France
Wytschaete Military Cemetery,Wytschaete,50.78458,2.87702,Belgium
Kemmel No.1 French Cemetery,Kemmel No.1,50.80542,2.84072,Belgium
St. George's Military Cemetery,St. Georges,32.38373,-64.68128,Bermuda
Corozal American Military Cemetery,Corozal,8.98759,-79.57306,Panama
Haidar Pasha Cemetery,Haidar Pasha,40.99981,29.02005,Turkey (including Gallipoli)
Poperinghe New Military Cemetery,Poperinghe,50.84738,2.73305,Belgium
Stevenage (St. Nicholas) Churchyard,Stevenage,51.92022,-0.19756,United Kingdom
Villers-Faucon Communal Cemetery Extension,Villers-Faucon,49.97941,3.10009,France
La Clytte Military Cemetery,La Clytte,50.80163,2.80036,Belgium
Gravesend Cemetery,Gravesend,51.43451,0.35962,United Kingdom
Hound (St. Mary) Churchyard Extension,Hound,50.8763,-1.33271,United Kingdom
Chichester Cemetery,Chichester,50.84093,-0.75797,United Kingdom
Etaples Military Cemetery,Etaples,50.53497,1.62468,France
Aldershot Military Cemetery,Aldershot,51.25552,-0.74481,United Kingdom
Cape Town (Maitland) Cemetery,Cape Town,-33.91592,18.52805,South Africa
Dranoutre Military Cemetery,Dranoutre,50.76706,2.78003,Belgium
"Manchester Cemetery, Riencourt-Les-Bapaume",Manchester,50.08533,2.88967,France
Bristol (Shirehampton) Cemetery,Bristol,51.48955,-2.67968,United Kingdom
Christchurch (Bromley) Cemetery,Christchurch Bromley,-43.54086,172.68553,New Zealand
Christchurch (Linwood) Cemetery,Christchurch Linwood,-43.52985,172.68114,New Zealand
Canterbury Provincial Memorial,Canterbury Provincial,-43.53252,172.69079,New Zealand
Christchurch (Sydenham) Cemetery,Christchurch Sydenham,-43.55743,172.62458,New Zealand
Dunedin Southern Cemetery,Dunedin Southern,-45.88998,170.49237,New Zealand
Calais Southern Cemetery,Calais,50.94603,1.88541,France
Duhallow A.D.S. Cemetery,Duhallow,50.86395,2.87709,Belgium
Christchurch (Papanui) Anglican Church Cemetery,Christchurch Papanui,-43.49661,172.60667,New Zealand
Christchurch (Addington) Cemetery,Christchurch Addington,-43.5435,172.62195,New Zealand
