Decoration,Base Decoration Abvr,Decoration Abvr,Simplified Decoration,Decoration Count,Medal URL,Bar URL,Citation Text
Air Force Cross,AFC,AFC,Air Force Cross,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/UK_AFC_ribbon.svg/110px-UK_AFC_ribbon.svg.png,wikidata.org
Air Force Cross,AFC,AFC-Bar,Air Force Cross and Bar,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UK_AFC_w_Bar_ribbon2.svg/110px-UK_AFC_w_Bar_ribbon2.svg.png,wikidata.org
Africa Star,Africa Star,Africa Star,Africa Star,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Ribbon_-_Africa_Star.png/95px-Ribbon_-_Africa_Star.png,
Albert Medal,AM,AM,Albert Medal,1,,,
British Empire Medal,BEM,BEM,British Empire Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/UK_OBE_1917_military_BAR.svg/109px-UK_OBE_1917_military_BAR.svg.png,wikidata.org
British War Medal,BWM,BWM,British War Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/British_War_Medal_BAR.svg/106px-British_War_Medal_BAR.svg.png,
Companion of the Bath,OB,OB-C,Companion of the Bath,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Gal%C3%B3_de_l%27Orde_del_Bany_%28UK%29.svg/220px-Gal%C3%B3_de_l%27Orde_del_Bany_%28UK%29.svg.png,wikidata.org
Order of the Bath,OB,OB,Order of the Bath,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Gal%C3%B3_de_l%27Orde_del_Bany_%28UK%29.svg/220px-Gal%C3%B3_de_l%27Orde_del_Bany_%28UK%29.svg.png,wikidata.org
Companion of St. Michael and St. George,MG,MG-C,Companion of St Michael and St George,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/UK_Order_St-Michael_St-George_ribbon.svg/220px-UK_Order_St-Michael_St-George_ribbon.svg.png,wikidata.org
Order of St. Michael and St. George,MG,MG,Order of St Michael and St George,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/UK_Order_St-Michael_St-George_ribbon.svg/220px-UK_Order_St-Michael_St-George_ribbon.svg.png,wikidata.org
Coronation Medal 1937,CM,CM,Coronation Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/UK_King_George_VI_Coronation_Medal_ribbon.svg/90px-UK_King_George_VI_Coronation_Medal_ribbon.svg.png,
Cross of Valour,CoV-Greece,CoV-Greece,Cross of Valour Greece,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/GRE_Commander%27s_Medal_of_Valour_ribbon.svg/100px-GRE_Commander%27s_Medal_of_Valour_ribbon.svg.png,
Distinguished Conduct Medal,DCM,DCM,Distinguished Conduct Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ribbon_-_Distinguished_Conduct_Medal.png/95px-Ribbon_-_Distinguished_Conduct_Medal.png,wikidata.org
Distinguished Conduct Medal and Bar,DCM,DCM-Bar,Distinguished Conduct Medal and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Ribbon_-_Distinguished_Conduct_Medal_%26_Bar.png/95px-Ribbon_-_Distinguished_Conduct_Medal_%26_Bar.png,wikidata.org
Distinguished Flying Cross,DFC,DFC,Distinguished Flying Cross,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/United_Kingdom_Distinguished_Flying_Cross_ribbon.svg/110px-United_Kingdom_Distinguished_Flying_Cross_ribbon.svg.png,wikidata.org
Distinguished Flying Cross and Bar,DFC,DFC-Bar,Distinguished Flying Cross and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/UK_DFC_w_bar_BAR.svg/110px-UK_DFC_w_bar_BAR.svg.png,wikidata.org
Distinguished Flying Cross and Bar,DFC,DFC-Bars,Distinguished Flying Cross and Bars,3,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/UK_DFC_w_2bars_BAR.svg/110px-UK_DFC_w_2bars_BAR.svg.png,wikidata.org
Distinguished Flying Medal,DFM,DFM,Distinguished Flying Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Distinguished_Flying_Medal_ribbon.svg/110px-Distinguished_Flying_Medal_ribbon.svg.png,wikidata.org
Defence Medal,DM,DM,Defence Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Ribbon_-_Defence_Medal.png/105px-Ribbon_-_Defence_Medal.png,
Distinguished Service Cross,DSC,DSC,Distinguished Service Cross,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/UK_Distinguished_Service_Cross_BAR.svg/100px-UK_Distinguished_Service_Cross_BAR.svg.png,wikidata.org
Distinguished Service Cross and Bar,DSC,DSC-Bar,Distinguished Service Cross and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/UK_DSC_w_bar_BAR.svg/100px-UK_DSC_w_bar_BAR.svg.png,wikidata.org
Distinguished Service Cross and Bars,DSC,DSC-Bars,Distinguished Service Cross and Bars,3,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/UK_DSC_w_bar_BAR.svg/100px-UK_DSC_w_bar_BAR.svg.png,wikidata.org
Distinguished Service Medal,DSM,DSM,Distinguished Service Medal,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/UK_DSC_w_2bars_BAR.svg/100px-UK_DSC_w_2bars_BAR.svg.png,wikidata.org
Distinguished Service Order,DSO,DSO,Distinguished Service Order,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Dso-ribbon.svg/100px-Dso-ribbon.svg.png,wikidata.org
Distinguished Service Order and Bar,DSO,DSO-Bar,Distinguished Service Order and Bar,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Dso-ribbon.svg/100px-Dso-ribbon.svg.png,wikidata.org
