Journey,vessel,HMNZT,voyage,Total Voyages,datetime-begin,datetime-end,Return Path,Return Comment,Days Travel,images,route,route length,path
Moeraki,Moeraki,1,1,2,15 Aug 1914 06:00,29 Aug 1914 06:00,,,14,"[""Moeraki-b-hmnzt-1.jpg"",""Moeraki-a-hmnzt-1.jpg""]","[{""place"":""Auckland"",""country"":""New Zealand"",""latlng"":[-36.8332973,174.7640349]},{""place"":""Noumea"",""country"":""New Caledonia"",""latlng"":[-22.2803877,166.5166655]},{""place"":""Suva"",""country"":""Fiji"",""latlng"":[-18.139872,178.3986588]},{""place"":""Apia"",""country"":""Samoa"",""latlng"":[-13.817371,-171.7985791]}]",226.7781372,"[[-36.8332973,174.7640349],
[-36.8387929,174.8114134],
[-36.8041961,174.9126908],
[-36.7464465,174.9895951],
[-36.6649733,175.0294205],
[-36.1642834,175.2049366],
[-35.7697094,175.2887074],
[-22.2803877,166.5166655],
[-22.5262321,166.8076415],
[-22.5273324,167.1112988],
[-22.3776215,167.5830634],
[-20.9466256,172.2266226],
[-18.4263155,178.2721943],
[-18.139872,178.3986588],
[-18.2184828,178.5747834],
[-17.8230431,179.2022813],
[-17.1528209,-179.7879104],
[-13.7866137,-172.1006963],
[-13.7586038,-171.8123052],
[-13.817371,-171.7985791]]"
Monowai,Monowai,2,1,1,15 Aug 1914 18:00,29 Aug 1914 18:00,,,14,"[""monowai-leaving-wellington.jpg"",""Monowai hmnzt-01a-1.jpg""]","[{""place"":""Auckland"",""country"":""New Zealand"",""latlng"":[-36.8332973,174.7640349]},{""place"":""Noumea"",""country"":""New Caledonia"",""latlng"":[-22.2803877,166.5166655]},{""place"":""Suva"",""country"":""Fiji"",""latlng"":[-18.139872,178.3986588]},{""place"":""Apia"",""country"":""Samoa"",""latlng"":[-13.817371,-171.7985791]}]",226.7781372,"[[-36.8332973,174.7640349],
[-36.8387929,174.8114134],
[-36.8041961,174.9126908],
[-36.7464465,174.9895951],
[-36.6649733,175.0294205],
[-36.1642834,175.2049366],
[-35.7697094,175.2887074],
[-22.2803877,166.5166655],
[-22.5262321,166.8076415],
[-22.5273324,167.1112988],
[-22.3776215,167.5830634],
[-20.9466256,172.2266226],
[-18.4263155,178.2721943],
[-18.139872,178.3986588],
[-18.2184828,178.5747834],
[-17.8230431,179.2022813],
[-17.1528209,-179.7879104],
[-13.7866137,-172.1006963],
[-13.7586038,-171.8123052],
[-13.817371,-171.7985791]]"
,,,,,,,,,,,,,
Maunganui,Maunganui,3,1,11,16 Oct 1914 20:05,03 Dec 1914 20:05,,,48,"[""Maunganui HMNZT30.jpg"",""Maunganui hmnzt-03a-2.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.1427002,"[[-41.2660136,174.8278534],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
Tahiti,Tahiti,4,1,11,16 Oct 1914 20:00,03 Dec 1914 20:01,01 Apr 1915 00:00,,48.00069444,"[""Tahiti hmnzt-04a-2.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.1427002,"[[-41.2660136,174.8278534],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
Ruapehu,Ruapehu,5,1,2,16 Oct 1914 14:00,03 Dec 1914 14:00,,,48,"[""Ruapehu hmnzt-05a-3.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.2189331,"[[-41.2550017,174.8912035],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
Orari,Orari,6,1,1,16 Oct 1914 10:00,03 Dec 1914 10:00,21 Dec 1914 16:05,,48,"[""Orari hmnzt-05b-3.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.2189331,"[[-41.2550017,174.8912035],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
Limerick,Limerick,7,1,1,16 Oct 1914 19:00,03 Dec 1914 19:00,,,48,"[""Limerick hmnzt-07b-4.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.1427002,"[[-41.2660136,174.8278534],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
Star of India,Star of India,8,1,1,16 Oct 1914 07:05,03 Dec 1914 11:00,,,48.16319444,"[""Star of India hmnzt-08a-5.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.1427002,"[[-41.2660136,174.8278534],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
Hawkes Bay,Hawkes Bay,9,1,1,16 Oct 1914 11:05,03 Dec 1914 11:05,,,48,"[""Hawkes Bay hmnzt-09a-5.jpg""]","[{""place"":""Wellington"",""country"":""New Zealand""},{""place"":""Hobart"",""country"":""Australia""},{""place"":""Albany"",""country"":""Australia""},{""place"":""Colombo"",""country"":""Sri Lanka""},{""place"":""Alexandria"",""country"":""Egypt""}]",986.1427002,"[[-41.2660136,174.8278534],
[-41.2964577,174.8573791],
[-41.3268875,174.8511993],
[-41.3737938,174.8154937],
[-41.3810071,174.6637451],
[-41.2861392,174.4756042],
[-40.7306426,174.3361358],
[-39.854169,171.5675559],
[-43.326447,147.8096213],
[-43.1097802,147.5472184],
[-43.0440733,147.5596823],
[-43.8988851,147.4238112],
[-44.1674329,142.2382643],
[-35.2482686,118.2944033],
[-35.0513001,117.9892032],
[-35.2534103,118.1979434],
[-35.5019872,117.1872012],
[-34.8607524,115.0124642],
[5.1187833,78.8029728],
[7.0180464,79.7712553],
[6.96216,79.8509062],
[7.3615883,79.0462436],
[14.289807,53.1247027],
[12.2368195,43.8082965],
[13.6928282,42.4899371],
[27.3170002,34.0084918],
[29.6344753,32.5363238],
[29.9283187,32.5552474],
[29.9452771,32.5785933],
[29.9658018,32.5868331],
[29.9809695,32.5864897],
[30.0555846,32.5731001],
[30.077572,32.5708686],
[30.1590906,32.5694953],
[30.2105803,32.5672637],
[30.2535914,32.5267516],
[30.2691598,32.4766265],
[30.2959722,32.4049705],
[30.3884164,32.3507255],
[30.4091451,32.3630851],
[30.4423019,32.355532],
[30.502074,32.3397392],
[30.521004,32.3335594],
[30.5706778,32.291674],
[30.586639,32.3040336],
[30.6185535,32.324633],
[30.6982936,32.3431724],
[30.7254493,32.3424857],
[30.7673485,32.3308128],
[30.8092295,32.3177665],
[31.088949,32.3088401],
[31.2458206,32.3040336],
[31.2640173,32.3184532],
[31.2775158,32.3383659],
[31.6044087,31.9174522],
[31.6020694,30.1616996],
[31.1741736,29.8115104],
[31.1600728,29.8458427],
[31.1973767,29.8726219]
]"
